no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,11.143153,1.30%,51.115657,2.515193,0.10%,51.505559,12.099207,12.36%,41.357826,2.331313,0.08%,49.978801,9.5766,0.15%,48.219678
120-240,18.223782,2.09%,50.689525,4.9764,0.63%,51.823538,22.956827,28.81%,34.277586,5.993921,13.76%,43.737903,17.276267,1.23%,48.820935
240-360,21.449769,3.03%,50.767405,2.823613,0.00%,52.958478,78.67451,76.34%,11.183259,3.175218,38.46%,31.783772,20.906339,0.70%,48.08047
360-480,41.280327,41.57%,30.675502,8.878513,0.33%,52.210666,98.584533,79.23%,9.922261,26.470135,77.30%,11.752372,20.763749,0.15%,48.456373
480-600,81.451525,71.51%,14.832939,10.44109,11.00%,46.96923,95.364031,77.75%,10.616372,142.161989,98.64%,0.716973,21.169736,0.35%,48.277856
600-720,107.139444,82.56%,9.242411,40.426063,77.06%,12.123662,97.340057,78.53%,10.119769,166.016361,100.00%,0,20.601193,0.21%,48.320395
720-840,106.066538,81.93%,9.551328,89.598201,90.03%,5.159229,96.219397,78.68%,10.263031,166.016361,100.00%,0,20.88659,0.00%,48.14791
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
